RecordTime,VideoTime,Head-ShoulderCenter,ShoulderCenter-ShoulderLeft,ShoulderCenter-ShoulderRight,ShoulderLeft-ElbowLeft,ElbowLeft-WristLeft,ShoulderRight-ElbowRight,ElbowRight-WristRight,ShoulderCenter-HipCenter,HipCenter-KneeLeft,KneeLeft-AnkleLeft,HipCenter-KneeRight,KneeRight-AnkleRight
6/27/2014 10:20:39 AM,33,513,412,414,513,508,513,508,513,513,513,513,513
6/27/2014 10:20:39 AM,43,513,417,409,508,513,403,403,513,307,302,403,403
6/27/2014 10:20:39 AM,56,513,411,415,507,403,509,403,513,408,403,408,403
6/27/2014 10:20:39 AM,59,513,411,414,407,303,409,304,513,303,303,403,303
6/27/2014 10:20:39 AM,71,513,311,315,513,508,513,508,513,513,513,514,513
6/27/2014 10:20:39 AM,74,513,411,414,412,407,414,409,513,513,513,513,513
6/27/2014 10:20:39 AM,86,513,411,415,513,508,513,513,513,512,512,514,514
6/27/2014 10:20:39 AM,89,513,411,415,512,508,514,508,513,412,412,414,414
6/27/2014 10:20:39 AM,101,513,412,414,412,412,414,414,513,512,512,514,514
6/27/2014 10:20:39 AM,104,513,411,415,513,508,514,508,513,512,513,514,514
6/27/2014 10:20:39 AM,118,513,411,414,513,408,508,408,513,407,302,409,404
6/27/2014 10:20:39 AM,123,513,411,414,513,408,508,408,513,407,302,409,404
6/27/2014 10:20:39 AM,128,513,411,414,513,408,508,408,513,407,307,409,403
6/27/2014 10:20:39 AM,140,513,411,414,513,403,508,408,513,407,307,409,404
6/27/2014 10:20:39 AM,146,513,411,414,513,409,508,407,513,407,302,409,403
6/27/2014 10:20:39 AM,157,513,411,414,513,409,508,403,513,407,307,409,403
6/27/2014 10:20:39 AM,161,513,411,414,513,408,508,407,513,407,307,409,403
6/27/2014 10:20:39 AM,174,518,311,415,508,408,508,408,513,307,307,409,303
6/27/2014 10:20:39 AM,179,513,411,414,508,408,508,408,513,407,408,409,303
6/27/2014 10:20:39 AM,188,513,411,414,513,403,508,408,513,407,302,404,303
6/27/2014 10:20:39 AM,197,513,411,414,508,403,508,408,513,407,307,404,303
6/27/2014 10:20:39 AM,205,513,411,414,513,408,508,408,513,407,307,409,303
6/27/2014 10:20:39 AM,214,513,411,414,513,408,508,408,513,307,307,404,303
6/27/2014 10:20:39 AM,222,513,311,315,513,508,513,508,513,513,513,513,513
6/27/2014 10:20:39 AM,228,513,411,415,513,508,514,508,513,513,513,513,513
6/27/2014 10:20:39 AM,238,513,411,414,513,518,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,244,513,411,414,513,518,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,252,513,412,414,513,514,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,257,512,411,414,512,513,513,513,513,512,513,513,513
6/27/2014 10:20:39 AM,264,513,411,414,513,513,513,513,513,512,513,513,513
6/27/2014 10:20:39 AM,269,513,411,414,513,513,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,277,513,411,414,513,514,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,284,513,411,415,513,513,513,513,513,512,412,513,418
6/27/2014 10:20:39 AM,290,513,411,414,513,513,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,297,513,411,414,512,513,513,513,513,512,513,513,513
6/27/2014 10:20:39 AM,302,418,411,415,513,513,513,513,513,512,513,513,513
6/27/2014 10:20:39 AM,307,513,411,414,513,513,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,314,513,411,414,513,519,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,320,513,411,414,513,519,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,325,513,411,414,513,519,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,332,513,411,414,513,519,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,338,513,411,414,513,513,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,341,513,412,414,411,306,514,404,513,513,513,513,513
6/27/2014 10:20:39 AM,350,513,411,414,513,513,513,513,513,507,407,513,513
6/27/2014 10:20:39 AM,356,513,412,415,513,513,513,513,513,513,513,513,513
6/27/2014 10:20:39 AM,363,513,411,414,513,508,513,508,513,513,513,513,513
6/27/2014 10:20:39 AM,369,513,417,409,513,513,508,407,513,513,513,513,513
6/27/2014 10:20:39 AM,375,513,411,415,512,304,514,403,513,513,513,513,513
6/27/2014 10:20:39 AM,381,513,411,415,508,408,508,407,508,403,404,403,112
6/27/2014 10:20:39 AM,386,512,412,320,307,304,513,407,418,408,403,403,403
6/27/2014 10:20:39 AM,400,513,411,415,508,403,408,303,508,407,315,403,303
6/27/2014 10:20:39 AM,411,513,411,419,208,214,513,302,513,403,403,403,303
6/27/2014 10:20:39 AM,423,513,411,419,507,209,508,403,513,302,303,404,303
6/27/2014 10:20:39 AM,435,513,311,419,507,209,508,302,513,302,303,202,518
6/27/2014 10:20:39 AM,449,513,411,419,507,408,508,302,513,302,303,303,212
6/27/2014 10:20:39 AM,461,508,407,414,407,403,408,302,508,303,303,404,303
6/27/2014 10:20:39 AM,467,508,407,414,407,403,408,303,508,307,303,304,303
6/27/2014 10:20:39 AM,472,513,411,419,408,403,508,303,513,302,303,403,303
6/27/2014 10:20:39 AM,480,513,411,419,408,403,408,403,513,302,303,404,303
6/27/2014 10:20:39 AM,485,513,411,419,408,403,408,303,513,302,303,404,303
6/27/2014 10:20:39 AM,501,513,411,419,408,403,408,303,513,302,303,404,303
6/27/2014 10:20:39 AM,505,513,411,419,408,403,408,403,513,303,303,404,303
6/27/2014 10:20:39 AM,523,513,411,419,507,403,408,402,513,303,303,404,303
6/27/2014 10:20:39 AM,527,513,411,419,407,403,508,207,513,302,303,404,303
6/27/2014 10:20:39 AM,544,513,411,419,407,309,508,207,513,302,303,404,303
6/27/2014 10:20:39 AM,547,513,411,419,407,309,508,207,513,302,303,404,303
6/27/2014 10:20:39 AM,562,513,411,419,407,304,508,207,513,302,303,404,303
6/27/2014 10:20:39 AM,566,513,411,419,407,309,508,207,513,302,303,404,303
6/27/2014 10:20:39 AM,583,513,411,419,407,403,408,302,508,307,303,404,303
6/27/2014 10:20:39 AM,587,513,411,414,507,304,408,207,508,302,303,404,303
6/27/2014 10:20:39 AM,601,513,411,419,507,309,508,207,508,302,303,404,303
